accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.7666666507720947,0.6483144760131836,0.8018018007278442,0.7416666746139526,1.0,0.029387621209025383,1.0,1.0,0.0010000000474974513
0.987500011920929,0.0631902664899826,0.991631805896759,0.987500011920929,1.0,0.004674084018915892,1.0,1.0,0.0010000000474974513
1.0,0.013393865898251534,1.0,1.0,1.0,0.0016128517454490066,1.0,1.0,0.0010000000474974513
1.0,0.012389864772558212,1.0,0.9958333373069763,1.0,0.0006363962893374264,1.0,1.0,0.0010000000474974513
1.0,0.0066262660548090935,1.0,1.0,1.0,0.000378627039026469,1.0,1.0,0.0010000000474974513
1.0,0.003911359701305628,1.0,1.0,1.0,0.0002661673352122307,1.0,1.0,0.0010000000474974513
1.0,0.003011096268892288,1.0,1.0,1.0,0.00019836935098282993,1.0,1.0,0.0010000000474974513
1.0,0.0036913712974637747,1.0,1.0,1.0,0.00015180579794105142,1.0,1.0,0.0010000000474974513
1.0,0.0019395336275920272,1.0,1.0,1.0,0.00012029258505208418,1.0,1.0,0.0010000000474974513
1.0,0.0018391901394352317,1.0,1.0,1.0,0.0001026768732117489,1.0,1.0,0.0010000000474974513
1.0,0.0024394202046096325,1.0,1.0,1.0,8.876541687641293e-05,1.0,1.0,0.0010000000474974513
1.0,0.0012433506781235337,1.0,1.0,1.0,8.2930906501133e-05,1.0,1.0,0.0005000000237487257
1.0,0.002884314162656665,1.0,1.0,1.0,7.642882701475173e-05,1.0,1.0,0.0005000000237487257
1.0,0.0025015943683683872,1.0,1.0,1.0,7.217525853775442e-05,1.0,1.0,0.0005000000237487257
1.0,0.0010873310966417193,1.0,1.0,1.0,7.039518823148683e-05,1.0,1.0,0.0002500000118743628
1.0,0.001751316012814641,1.0,1.0,1.0,6.772529741283506e-05,1.0,1.0,0.0002500000118743628
1.0,0.0015138352755457163,1.0,1.0,1.0,6.519838643725961e-05,1.0,1.0,0.0002500000118743628
1.0,0.0019319745479151607,1.0,1.0,1.0,6.404417945304886e-05,1.0,1.0,0.0001250000059371814
1.0,0.0010700151324272156,1.0,1.0,1.0,6.293167098192498e-05,1.0,1.0,0.0001250000059371814
1.0,0.0013151313178241253,1.0,1.0,1.0,6.17257974226959e-05,1.0,1.0,0.0001250000059371814
1.0,0.0019319201819598675,1.0,1.0,1.0,6.113576091593131e-05,1.0,1.0,6.25000029685907e-05
1.0,0.0011775546008720994,1.0,1.0,1.0,6.055565972928889e-05,1.0,1.0,6.25000029685907e-05
1.0,0.0012770149623975158,1.0,1.0,1.0,5.9925889217993245e-05,1.0,1.0,6.25000029685907e-05
1.0,0.0013421712210401893,1.0,1.0,1.0,5.959809277555905e-05,1.0,1.0,3.125000148429535e-05
1.0,0.001257668831385672,1.0,1.0,1.0,5.925241930526681e-05,1.0,1.0,3.125000148429535e-05
1.0,0.002124203834682703,1.0,1.0,1.0,5.890078318770975e-05,1.0,1.0,3.125000148429535e-05
1.0,0.0021818203385919333,1.0,1.0,1.0,5.86584210395813e-05,1.0,1.0,1.5625000742147677e-05
1.0,0.0013569688890129328,1.0,1.0,1.0,5.8483597968006507e-05,1.0,1.0,1.5625000742147677e-05
1.0,0.00099717837292701,1.0,1.0,1.0,5.83465225645341e-05,1.0,1.0,1.5625000742147677e-05
1.0,0.001861179480329156,1.0,1.0,1.0,5.825513289892115e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0011398381320759654,1.0,1.0,1.0,5.812997551402077e-05,1.0,1.0,9.999999747378752e-06
1.0,0.001106173382140696,1.0,1.0,1.0,5.8038593124365434e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0013684916775673628,1.0,1.0,1.0,5.7941248087445274e-05,1.0,1.0,9.999999747378752e-06
1.0,0.002442098455503583,1.0,1.0,1.0,5.7845889386953786e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0013304820749908686,1.0,1.0,1.0,5.7718749303603545e-05,1.0,1.0,9.999999747378752e-06
1.0,0.000772903673350811,1.0,1.0,1.0,5.763331864727661e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0026353292632848024,1.0,1.0,1.0,5.7532000937499106e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0009656894253566861,1.0,1.0,1.0,5.7422734244028106e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0015901720616966486,1.0,1.0,1.0,5.734525257139467e-05,1.0,1.0,9.999999747378752e-06
1.0,0.0010186723666265607,1.0,1.0,1.0,5.7249897508881986e-05,1.0,1.0,9.999999747378752e-06
